name,rate
3,B.B.K.K.B.K.K.
3,B.B.K.K.B.K.K.
5,Scatman (Ski Ba Bop Ba Dop Bop)
5,Scatman (Ski Ba Bop Ba Dop Bop)
6,Reach for the Stars
6,Reach for the Stars
7,初音ミクの消失
7,初音ミクの消失
10,All I Want
10,All I Want
12,紅蓮の弓矢
12,紅蓮の弓矢
14,コネクト
14,コネクト
18,千本桜
18,千本桜
19,DRAGONLADY
19,DRAGONLADY
20,taboo tears you up
20,taboo tears you up
21,ナイト・オブ・ナイツ
21,ナイト・オブ・ナイツ
23,一触即発☆禅ガール
23,一触即発☆禅ガール
27,タイガーランペイジ
27,タイガーランペイジ
28,Pursuing My True Self
28,Pursuing My True Self
33,Blue Noise
33,Blue Noise
35,Lapis
35,Lapis
36,届かない恋 '13
36,届かない恋 '13
37,鳥の詩
37,鳥の詩
38,天ノ弱
38,天ノ弱
41,sweet little sister
41,sweet little sister
42,oath sign
42,oath sign
43,太陽曰く燃えよカオス
43,太陽曰く燃えよカオス
45,L9
45,L9
46,Bad Apple!! feat.nomico
46,Bad Apple!! feat.nomico
47,六兆年と一夜物語
47,六兆年と一夜物語
48,Unlimited Spark!
48,Unlimited Spark!
49,エピクロスの虹はもう見えない
49,エピクロスの虹はもう見えない
51,My First Phone
51,My First Phone
52,Cyberozar
52,Cyberozar
53,Teriqma
53,Teriqma
54,ブルーバード
54,ブルーバード
55,夏祭り
55,夏祭り
57,STAY AWAY
57,STAY AWAY
58,魂のルフラン
58,魂のルフラン
59,Invitation
59,Invitation
60,only my railgun
60,only my railgun
61,GOLDEN RULE
61,GOLDEN RULE
62,名も無い鳥
62,名も無い鳥
63,Gate of Fate
63,Gate of Fate
64,今ぞ♡崇め奉れ☆オマエらよ！！～姫の秘メタル渇望～
64,今ぞ♡崇め奉れ☆オマエらよ！！～姫の秘メタル渇望～
65,Anemone
65,Anemone
66,明るい未来
66,明るい未来
67,昵懇レファレンス
67,昵懇レファレンス
68,乗り切れ受験ウォーズ
68,乗り切れ受験ウォーズ
69,The wheel to the right
69,The wheel to the right
70,STAR
70,STAR
71,Infantoon Fantasy
71,Infantoon Fantasy
72,Genesis
72,Genesis
73,MUSIC PЯAYER
73,MUSIC PЯAYER
74,リリーシア
74,リリーシア
75,Counselor
75,Counselor
76,luna blu
76,luna blu
77,ケモノガル
77,ケモノガル
78,crossing field
78,crossing field
79,ＧＯ！ＧＯ！ラブリズム♥
79,ＧＯ！ＧＯ！ラブリズム♥
80,Grab your sword
80,Grab your sword
82,Memories of Sun and Moon
82,Memories of Sun and Moon
83,ロストワンの号哭
83,ロストワンの号哭
84,V.I.P
84,V.I.P
85,睡蓮花
85,睡蓮花
88,The Concept of Love
88,The Concept of Love
89,JET
89,JET
90,L'épisode
90,L'épisode
91,Yet Another ”drizzly rain”
91,Yet Another ”drizzly rain”
92,最終鬼畜妹・一部声
92,最終鬼畜妹・一部声
93,蒼空に舞え、墨染の桜
93,蒼空に舞え、墨染の桜
94,セツナトリップ
94,セツナトリップ
95,砂漠のハンティングガール♡
95,砂漠のハンティングガール♡
96,チルノのパーフェクトさんすう教室
96,チルノのパーフェクトさんすう教室
97,"Help me, ERINNNNNN!!"
97,"Help me, ERINNNNNN!!"
98,魔理沙は大変なものを盗んでいきました
98,魔理沙は大変なものを盗んでいきました
99,言ノ葉カルマ
99,言ノ葉カルマ
100,After the rain
100,After the rain
101,Tango Rouge
101,Tango Rouge
102,Tuning Rangers
102,Tuning Rangers
103,エンドマークに希望と涙を添えて
103,エンドマークに希望と涙を添えて
104,とーきょー全域★アキハバラ？
104,とーきょー全域★アキハバラ？
105,overcome
105,overcome
106,宛城、炎上！！
106,宛城、炎上！！
107,We Gonna Journey
107,We Gonna Journey
108,The ether
108,The ether
109,Emotions
109,Emotions
110,Magia
110,Magia
111,staple stable
111,staple stable
112,マジLOVE1000%
112,マジLOVE1000%
113,ストリーミングハート
113,ストリーミングハート
114,Sweet Devil
114,Sweet Devil
115,Dreaming
115,Dreaming
116,君の知らない物語
116,君の知らない物語
117,M.S.S.Planet
117,M.S.S.Planet
118,腐れ外道とチョコレゐト
118,腐れ外道とチョコレゐト
119,アウターサイエンス
119,アウターサイエンス
120,四次元跳躍機関
120,四次元跳躍機関
121,東方妖々夢 ～the maximum moving about～
121,東方妖々夢 ～the maximum moving about～
122,少女幻葬戦慄曲　～　Necro Fantasia
122,少女幻葬戦慄曲　～　Necro Fantasia
123,橙の幻想郷音頭
123,橙の幻想郷音頭
124,夏影
124,夏影
125,Little Busters! ～TV animation ver.～
125,Little Busters! ～TV animation ver.～
126,Heart To Heart
126,Heart To Heart
128,The Formula
128,The Formula
129,Hacking to the Gate
129,Hacking to the Gate
130,スカイクラッドの観測者
130,スカイクラッドの観測者
131,チルドレンレコード
131,チルドレンレコード
132,イカサマライフゲイム
132,イカサマライフゲイム
133,シリョクケンサ
133,シリョクケンサ
134,HAELEQUIN (Original Remaster)
134,HAELEQUIN (Original Remaster)
135,Vallista
135,Vallista
136,Äventyr
136,Äventyr
137,Angel dust
137,Angel dust
138,conflict
138,conflict
140,Guilty
140,Guilty
141,閃鋼のブリューナク
141,閃鋼のブリューナク
142,Altale
142,Altale
143,ODDS&ENDS
143,ODDS&ENDS
144,Aragami
144,Aragami
145,Change Our MIRAI！
145,Change Our MIRAI！
146,夕暮れワンルーム
146,夕暮れワンルーム
147,こころここから
147,こころここから
148,Theme of SeelischTact
148,Theme of SeelischTact
149,緋色のDance
149,緋色のDance
150,brilliant better
150,brilliant better
151,Alma
151,Alma
152,Gustav Battle
152,Gustav Battle
154,SAVIOR OF SONG
154,SAVIOR OF SONG
155,ブルー・フィールド
155,ブルー・フィールド
156,FREELY TOMORROW
156,FREELY TOMORROW
157,ギガンティックO.T.N
157,ギガンティックO.T.N
158,フォルテシモBELL
158,フォルテシモBELL
159,ジングルベル
159,ジングルベル
160,言ノ葉遊戯
160,言ノ葉遊戯
161,私の中の幻想的世界観及びその顕現を想起させたある現実での出来事に関する一考察
161,私の中の幻想的世界観及びその顕現を想起させたある現実での出来事に関する一考察
163,幾四音-Ixion-
163,幾四音-Ixion-
165,ぼくらの16bit戦争
165,ぼくらの16bit戦争
166,裏表ラバーズ
166,裏表ラバーズ
167,脳漿炸裂ガール
167,脳漿炸裂ガール
168,ネトゲ廃人シュプレヒコール
168,ネトゲ廃人シュプレヒコール
169,elegante
169,elegante
170,DETARAME ROCK&ROLL THEORY
170,DETARAME ROCK&ROLL THEORY
171,XL TECHNO
171,XL TECHNO
173,Halcyon
173,Halcyon
176,Dance!
176,Dance!
177,Jimang Shot
177,Jimang Shot
178,stella=steLLa
178,stella=steLLa
179,すろぉもぉしょん
179,すろぉもぉしょん
180,怒槌
180,怒槌
181,ユクエシレズ
181,ユクエシレズ
182,WHITE ALBUM Live at Campus Fes
182,WHITE ALBUM Live at Campus Fes
184,Last regrets
184,Last regrets
185,楽園の翼
185,楽園の翼
186,ってゐ！　～えいえんてゐVer～
186,ってゐ！　～えいえんてゐVer～
187,患部で止まってすぐ溶ける～狂気の優曇華院
187,患部で止まってすぐ溶ける～狂気の優曇華院
189,ひれ伏せ愚民どもっ！
189,ひれ伏せ愚民どもっ！
190,エテルニタス・ルドロジー
190,エテルニタス・ルドロジー
191,幽闇に目醒めしは
191,幽闇に目醒めしは
192,Starlight Vision
192,Starlight Vision
193,Club Ibuki in Break All
193,Club Ibuki in Break All
194,Phantasm Brigade
194,Phantasm Brigade
195,永遠のメロディ
195,永遠のメロディ
196,FREEDOM DiVE
196,FREEDOM DiVE
197,Jack-the-Ripper◆
197,Jack-the-Ripper◆
199,ハート・ビート
199,ハート・ビート
200,無敵We are one!!
200,無敵We are one!!
201,Contrapasso -inferno-
201,Contrapasso -inferno-
202,GEMINI -C-
202,GEMINI -C-
203,FLOWER
203,FLOWER
204,ちくわパフェだよ☆CKP
204,ちくわパフェだよ☆CKP
205,SNIPE WHOLE
205,SNIPE WHOLE
206,Signs Of Love (“Never More” ver.)
206,Signs Of Love (“Never More” ver.)
207,Your Affection (Daisuke Asakura Remix)
207,Your Affection (Daisuke Asakura Remix)
208,SAMBISTA
208,SAMBISTA
209,君色シグナル
209,君色シグナル
210,アスノヨゾラ哨戒班
210,アスノヨゾラ哨戒班
211,天樂
211,天樂
212,いろは唄
212,いろは唄
213,星屑ユートピア
213,星屑ユートピア
214,青春はNon-Stop！
214,青春はNon-Stop！
215,Falling Roses
215,Falling Roses
216,放課後革命
216,放課後革命
217,楽園ファンファーレ
217,楽園ファンファーレ
218,サウンドプレイヤー
218,サウンドプレイヤー
219,玩具狂奏曲 -終焉-
219,玩具狂奏曲 -終焉-
220,如月アテンション
220,如月アテンション
222,Mr. Wonderland
222,Mr. Wonderland
223,カミサマネジマキ
223,カミサマネジマキ
224,恋愛裁判
224,恋愛裁判
225,ウミユリ海底譚
225,ウミユリ海底譚
226,Garakuta Doll Play
226,Garakuta Doll Play
227,洗脳
227,洗脳
228,このふざけた素晴らしき世界は、僕の為にある
228,このふざけた素晴らしき世界は、僕の為にある
229,紅華刑
229,紅華刑
230,Hyperion
230,Hyperion
231,カラフル。
231,カラフル。
232,Elemental Creation
232,Elemental Creation
233,アルストロメリア
233,アルストロメリア
234,Devastating Blaster
234,Devastating Blaster
235,ファッとして桃源郷
235,ファッとして桃源郷
238,フレンズ
238,フレンズ
240,夜咄ディセイブ
240,夜咄ディセイブ
243,シュガーソングとビターステップ
243,シュガーソングとビターステップ
244,回レ！雪月花
244,回レ！雪月花
245,"Help me, あーりん！"
245,"Help me, あーりん！"
246,なるとなぎのパーフェクトロックンロール教室
246,なるとなぎのパーフェクトロックンロール教室
247,絶世スターゲイト
247,絶世スターゲイト
248,Schrecklicher Aufstand
248,Schrecklicher Aufstand
249,ドライヴ・オン・ザ・レインボー
249,ドライヴ・オン・ザ・レインボー
250,Philosopher
250,Philosopher
251,Crazy ∞ nighT
251,Crazy ∞ nighT
252,愛迷エレジー
252,愛迷エレジー
253,Warcry
253,Warcry
254,その群青が愛しかったようだった
254,その群青が愛しかったようだった
255,激情！ミルキィ大作戦
255,激情！ミルキィ大作戦
256,札付きのワル　～マイケルのうた～
256,札付きのワル　～マイケルのうた～
257,BOKUTO
257,BOKUTO
258,TiamaT:F minor
258,TiamaT:F minor
259,Oshama Scramble! (Cranky Remix)
259,Oshama Scramble! (Cranky Remix)
260,D.E.A.D.L.Y.
260,D.E.A.D.L.Y.
261,ロボットプラネットユートピア
261,ロボットプラネットユートピア
262,Tidal Wave
262,Tidal Wave
263,Hand in Hand
263,Hand in Hand
264,My Dearest Song
264,My Dearest Song
265,猫祭り
265,猫祭り
266,ゲシュタルト！テスト期間！！
266,ゲシュタルト！テスト期間！！
267,心象蜃気楼
267,心象蜃気楼
268,Bang Babang Bang!!!
268,Bang Babang Bang!!!
269,僕らの翼
269,僕らの翼
270,エンヴィキャットウォーク
270,エンヴィキャットウォーク
271,鬼KYOKAN
271,鬼KYOKAN
272,有頂天ビバーチェ
272,有頂天ビバーチェ
273,ビバハピ
273,ビバハピ
274,願い星
274,願い星
275,愛言葉
275,愛言葉
276,後夜祭
276,後夜祭
277,TRUST
277,TRUST
278,からくりピエロ
278,からくりピエロ
279,深海少女
279,深海少女
280,リモコン
280,リモコン
281,ラクガキスト
281,ラクガキスト
282,アカツキアライヴァル
282,アカツキアライヴァル
283,神曲
283,神曲
284,幸せになれる隠しコマンドがあるらしい
284,幸せになれる隠しコマンドがあるらしい
286,Tell Your World
286,Tell Your World
287,ロミオとシンデレラ
287,ロミオとシンデレラ
288,First Twinkle
288,First Twinkle
289,ウソラセラ
289,ウソラセラ
290,檄!帝国華撃団
290,檄!帝国華撃団
291,Kronos
291,Kronos
292,月に叢雲華に風
292,月に叢雲華に風
293,インビジブル
293,インビジブル
294,人生リセットボタン
294,人生リセットボタン
295,響
295,響
296,かくしん的☆めたまるふぉ～ぜっ!
296,かくしん的☆めたまるふぉ～ぜっ!
297,風仁雷仁
297,風仁雷仁
298,PRIVATE SERVICE
298,PRIVATE SERVICE
299,secret base ～君がくれたもの～ (10 years after Ver.)
299,secret base ～君がくれたもの～ (10 years after Ver.)
300,No Routine
300,No Routine
301,白い雪のプリンセスは
301,白い雪のプリンセスは
302,Strahv
302,Strahv
303,Dreams Dreams:Kids Ver.
303,Dreams Dreams:Kids Ver.
304,In The Blue Sky '01
304,In The Blue Sky '01
305,幻想のサテライト
305,幻想のサテライト
306,凛として咲く花の如く
306,凛として咲く花の如く
307,Paqqin
307,Paqqin
308,fake!fake!
308,fake!fake!
309,Rising Hope
309,Rising Hope
310,覚醒楽奏メタフィクション
310,覚醒楽奏メタフィクション
311,Be My Friend
311,Be My Friend
312,ぶいえす!!らいばる!!
312,ぶいえす!!らいばる!!
313,ひだまりデイズ
313,ひだまりデイズ
314,This game
314,This game
315,オラシオン
315,オラシオン
316,みくみくにしてあげる♪【してやんよ】
316,みくみくにしてあげる♪【してやんよ】
317,Air
317,Air
318,DataErr0r
318,DataErr0r
319,Say A Vengeance
319,Say A Vengeance
320,010
320,010
321,ERIS -Legend of Gaidelia-
321,ERIS -Legend of Gaidelia-
322,Imperishable Night 2006 (2016 Refine)
322,Imperishable Night 2006 (2016 Refine)
323,Dreadnought
323,Dreadnought
324,STAGER
324,STAGER
325,Her Majesty
325,Her Majesty
326,Sakura Fubuki
326,Sakura Fubuki
327,JULIAN
327,JULIAN
328,★LittlE HearTs★
328,★LittlE HearTs★
329,STAIRWAY TO GENERATION
329,STAIRWAY TO GENERATION
330,ドキドキDREAM!!!
330,ドキドキDREAM!!!
331,猛進ソリストライフ！
331,猛進ソリストライフ！
332,空威張りビヘイビア
332,空威張りビヘイビア
334,FLOATED CALM
334,FLOATED CALM
335,Supersonic Generation
335,Supersonic Generation
336,シジョウノコエ VOCALO ver.
336,シジョウノコエ VOCALO ver.
337,Tic Tac DREAMIN’
337,Tic Tac DREAMIN’
338,SPICY SWINGY STYLE
338,SPICY SWINGY STYLE
339,RevolutionGame
339,RevolutionGame
340,Still
340,Still
341,おまかせ！！トラブルメイ娘☆とれびちゃん
341,おまかせ！！トラブルメイ娘☆とれびちゃん
342,オススメ☆♂♀☆でぃすとぴあ
342,オススメ☆♂♀☆でぃすとぴあ
343,Daydream café
343,Daydream café
344,ノーポイッ!
344,ノーポイッ!
345,ムーンライト伝説
345,ムーンライト伝説
348,Jumping!!
348,Jumping!!
349,極上スマイル
349,極上スマイル
350,FEEL×ALIVE
350,FEEL×ALIVE
351,ぶぉん！ぶぉん！らいど・おん！
351,ぶぉん！ぶぉん！らいど・おん！
352,Star☆Glitter
352,Star☆Glitter
353,H-A-J-I-M-A-R-I-U-T-A-!!
353,H-A-J-I-M-A-R-I-U-T-A-!!
354,ラブリー☆えんじぇる!!
354,ラブリー☆えんじぇる!!
355,だんご大家族
355,だんご大家族
356,クローバー♣かくめーしょん
356,クローバー♣かくめーしょん
357,ぐーちょきパレード
357,ぐーちょきパレード
358,"My Soul,Your Beats!"
358,"My Soul,Your Beats!"
359,Thousand Enemies
359,Thousand Enemies
360,夢想歌
360,夢想歌
362,Face of Fact
362,Face of Fact
363,true my heart -Lovable mix-
363,true my heart -Lovable mix-
365,桜ノ雨
365,桜ノ雨
367,いーあるふぁんくらぶ
367,いーあるふぁんくらぶ
368,おこちゃま戦争
368,おこちゃま戦争
369,エイリアンエイリアン
369,エイリアンエイリアン
370,虎視眈々
370,虎視眈々
371,アンハッピーリフレイン
371,アンハッピーリフレイン
372,すきなことだけでいいです
372,すきなことだけでいいです
373,デリヘル呼んだら君が来た
373,デリヘル呼んだら君が来た
374,チュルリラ・チュルリラ・ダッダッダ！
374,チュルリラ・チュルリラ・ダッダッダ！
375,だんだん早くなる
375,だんだん早くなる
376,ECHO
376,ECHO
377,泡沫、哀のまほろば
377,泡沫、哀のまほろば
379,愛き夜道 feat. ランコ、雨天決行
379,愛き夜道 feat. ランコ、雨天決行
380,Starlight Dance Floor
380,Starlight Dance Floor
381,Witches night
381,Witches night
382,"Help me, ERINNNNNN!! -Cranky remix-"
382,"Help me, ERINNNNNN!! -Cranky remix-"
383,仙酌絶唱のファンタジア
383,仙酌絶唱のファンタジア
384,キュアリアス光吉古牌　－祭－
384,キュアリアス光吉古牌　－祭－
385,Evans
385,Evans
386,神威
386,神威
388,GOODTEK
388,GOODTEK
389,Name of oath
389,Name of oath
390,Bird Sprite
390,Bird Sprite
393,Dengeki Tube
393,Dengeki Tube
394,若い力 -SEGA HARD GIRLS MIX-
394,若い力 -SEGA HARD GIRLS MIX-
395,レッツゴー!陰陽師
395,レッツゴー!陰陽師
396,あねぺったん
396,あねぺったん
397,Like the Wind [Reborn]
397,Like the Wind [Reborn]
398,天国と地獄 -言ノ葉リンネ-
398,天国と地獄 -言ノ葉リンネ-
399,最愛テトラグラマトン
399,最愛テトラグラマトン
402,悪戯
402,悪戯
403,りばーぶ
403,りばーぶ
404,Barbed Eye
404,Barbed Eye
405,分からない
405,分からない
407,混沌を越えし我らが神聖なる調律主を讃えよ
407,混沌を越えし我らが神聖なる調律主を讃えよ
409,Finite
409,Finite
410,MY LIBERATION
410,MY LIBERATION
411,地球最後の告白を
411,地球最後の告白を
414,We Gonna Party -Feline Groove Mix-
414,We Gonna Party -Feline Groove Mix-
416,Through The Tower
416,Through The Tower
417,Redo
417,Redo
421,前前前世
421,前前前世
422,MEMORIA
422,MEMORIA
424,MIRU key way
424,MIRU key way
426,華鳥風月
426,華鳥風月
427,儚きもの人間
427,儚きもの人間
430,ＧＯ！ＧＯ！ラブリズム♥ ～あーりん書類審査通過記念Ver.～
430,ＧＯ！ＧＯ！ラブリズム♥ ～あーりん書類審査通過記念Ver.～
432,光線チューニング
432,光線チューニング
433,立川浄穢捕物帳
433,立川浄穢捕物帳
434,眠れぬ夜君を想フ
434,眠れぬ夜君を想フ
435,JIGOKU STATION CENTRAL GATE
435,JIGOKU STATION CENTRAL GATE
436,PinqPiq
436,PinqPiq
437,トリスメギストス
437,トリスメギストス
438,WE GOTTA SOUL
438,WE GOTTA SOUL
439,哀しみ集め
439,哀しみ集め
440,キラメケ→Shoot it Now!
440,キラメケ→Shoot it Now!
441,Kattobi KEIKYU Rider
441,Kattobi KEIKYU Rider
488,夢と夢～あの日のメロディ～
488,夢と夢～あの日のメロディ～
504,Calamity Fortune
504,Calamity Fortune
525,Paradisus-Paradoxum
525,Paradisus-Paradoxum
526,ようこそジャパリパークへ
526,ようこそジャパリパークへ
537,ハレ晴レユカイ
537,ハレ晴レユカイ
538,AMAZING MIGHTYYYY!!!!
538,AMAZING MIGHTYYYY!!!!
540,砂の惑星 feat. HATSUNE MIKU
540,砂の惑星 feat. HATSUNE MIKU
